112	2	493	0
115	2	490	0
112	3	492	0
0	306	301	0
97	154	356	0
113	2	492	0
114	1	492	0
112	0	495	0
112	4	491	0
20	269	318	0
0	230	376	1
112	2	493	0
109	3	495	0
112	3	492	0
112	3	492	0
112	4	491	0
0	300	307	0
0	294	313	0
28	254	325	0
112	3	492	0
112	4	491	0
112	4	491	0
112	2	493	0
113	2	492	0
0	298	309	0
0	296	311	0
113	0	494	0
112	0	495	0
112	3	492	0
111	3	493	0
0	293	314	0
21	266	320	0
112	2	493	0
113	2	492	0
112	3	492	0
0	297	310	0
111	4	492	0
3	231	373	0
0	292	315	0
113	2	492	0
30	259	318	0
1	234	372	0
0	236	371	0
63	95	449	0
112	3	492	0
0	294	313	0
0	296	311	0
3	229	375	0
112	3	492	0
111	3	493	0
0	304	303	0
0	242	365	0
0	291	316	0
2	292	313	0
3	234	370	0
107	11	489	0
112	2	493	0
113	0	494	0
112	3	492	0
0	232	375	0
111	5	491	0
112	5	490	0
113	4	490	0
0	297	310	0
112	2	493	0
22	189	396	0
113	2	492	0
112	5	490	0
13	204	390	0
0	294	313	0
111	4	492	0
111	5	491	0
112	4	491	0
112	6	489	0
112	4	491	0
0	295	312	0
14	203	390	0
112	5	490	0
0	298	309	0
0	241	366	0
111	6	490	0
178	14	415	0
0	297	310	0
0	299	308	0
112	4	491	0
112	2	493	0
45	217	345	0
112	2	493	0
7	284	316	0
113	3	491	0
112	3	492	0
112	4	491	0
5	231	371	0
0	243	364	0
3	226	378	0
0	297	310	0
109	5	493	0
0	295	312	0
0	294	313	0
0	242	365	0
108	13	486	0
109	3	495	0
12	260	335	0
3	222	382	0
179	12	416	0
1	235	371	0
1	236	370	0
189	3	415	0
0	236	371	0
112	3	492	0
0	230	377	0
0	239	368	0
107	6	494	0
0	241	366	0
20	264	323	0
112	4	491	0
14	199	394	0
78	77	452	0
112	2	493	0
113	2	492	0
0	287	320	0
0	296	311	0
112	3	492	0
0	242	365	0
112	1	494	0
0	297	310	0
111	5	491	0
111	2	494	0
111	5	491	0
0	297	310	0
112	3	492	0
113	0	494	0
0	290	317	0
112	3	492	0
81	93	433	0
0	296	311	0
112	3	492	0
14	203	390	0
112	3	492	0
112	2	493	0
0	241	366	0
0	298	309	0
112	4	491	0
113	2	492	0
2	239	366	0
2	292	313	0
0	298	309	0
57	187	363	0
100	44	463	0
40	220	347	0
111	4	492	0
128	4	475	0
0	247	360	0
1	239	367	0
0	304	303	0
0	295	312	0
113	2	492	0
113	3	491	0
112	4	491	0
20	269	318	0
0	243	364	0
0	293	314	0
0	299	308	0
113	2	492	0
112	4	491	0
112	4	491	0
0	298	309	0
0	240	367	0
0	297	310	0
112	5	490	0
112	2	492	1
25	195	387	0
81	48	478	0
0	244	363	0
113	2	492	0
0	292	315	0
0	295	312	0
112	4	491	0
112	5	490	0
113	0	494	0
0	230	377	0
3	224	380	0
3	231	373	0
113	3	491	0
3	226	378	0
110	3	494	0
0	296	311	0
25	196	386	0
0	243	364	0
0	297	310	0
0	293	314	0
0	289	318	0
58	108	441	0
107	10	490	0
112	3	492	0
0	296	311	0
113	1	493	0
143	53	411	0
120	11	476	0
0	298	309	0
0	303	304	0
112	2	493	0
113	0	494	0
0	301	306	0
14	200	393	0
108	7	492	0
13	201	393	0
13	205	389	0
112	0	495	0
21	190	396	0
0	271	336	0
112	4	491	0
0	303	304	0
3	286	318	0
15	199	393	0
82	47	478	0
11	218	378	0
176	16	415	0
12	196	399	0
108	7	492	0
108	12	487	0
112	3	492	0
105	12	490	0
0	290	317	0
107	11	489	0
113	3	491	0
78	113	416	0
12	264	331	0
59	106	442	0
0	292	315	0
0	296	311	0
0	296	311	0
3	289	315	0
5	234	368	0
0	292	315	0
1	287	319	0
112	1	494	0
6	222	379	0
59	106	442	0
178	11	418	0
112	4	491	0
20	263	324	0
20	263	324	0
111	4	492	0
0	233	374	0
98	46	463	0
112	3	492	0
0	299	308	0
3	234	370	0
0	295	312	0
69	182	356	0
20	264	323	0
114	2	491	0
3	292	312	0
109	7	491	0
83	55	469	0
0	235	372	0
0	297	310	0
112	3	492	0
112	2	493	0
21	266	320	0
142	52	413	0
0	267	340	0
112	1	494	0
113	4	490	0
5	207	395	0
0	270	337	0
0	235	372	0
73	101	433	0
79	79	449	0
3	230	374	0
